"date","hydroperiod","discharge"
2008-11-10,"fall",1.95408
2008-11-11,"fall",2.03904
2008-11-12,"fall",2.01072
2008-11-13,"fall",1.9824
2008-11-14,"fall",1.96824
2008-11-15,"fall",1.99656
2008-11-16,"fall",1.96824
2008-11-17,"fall",1.9116
2008-11-18,"fall",1.92576
2008-11-19,"fall",1.93992
2008-11-20,"fall",1.96824
2008-11-21,"fall",1.96824
2008-11-22,"fall",1.99656
2008-11-23,"fall",2.0532
2008-11-24,"fall",2.10984
2008-11-25,"fall",2.09568
2008-11-26,"fall",2.16648
2008-11-27,"fall",2.88864
2008-11-28,"fall",3.56832
2008-11-29,"fall",2.86032
2008-11-30,"fall",2.59128
2008-12-01,"winter",2.56296
2008-12-02,"winter",2.50632
2008-12-03,"winter",2.46384
2008-12-04,"winter",2.44968
2008-12-05,"winter",2.4072
2008-12-06,"winter",2.4072
2008-12-07,"winter",2.36472
2008-12-08,"winter",2.39304
2008-12-09,"winter",2.37888
2008-12-10,"winter",2.35056
2008-12-11,"winter",2.43552
2008-12-12,"winter",2.39304
2008-12-13,"winter",2.478
2008-12-14,"winter",2.46384
2008-12-15,"winter",2.42136
2008-12-16,"winter",2.57712
2008-12-17,"winter",2.6196
2008-12-18,"winter",3.08688
2008-12-19,"winter",3.49752
2008-12-20,"winter",3.17184
2008-12-21,"winter",2.832
2008-12-22,"winter",2.71872
2008-12-23,"winter",2.67624
2008-12-24,"winter",2.66208
2008-12-25,"winter",2.71872
2008-12-26,"winter",15.0096
2008-12-27,"winter",10.91736
2008-12-28,"winter",7.97208
2008-12-29,"winter",6.13128
2008-12-30,"winter",4.51704
2008-12-31,"winter",3.78072
2009-01-01,"winter",3.48336
2009-01-02,"winter",3.3276
2009-01-03,"winter",3.24264
2009-01-04,"winter",3.44088
2009-01-05,"winter",3.55416
2009-01-06,"winter",3.27096
2009-01-07,"winter",3.07272
2009-01-08,"winter",2.98776
2009-01-09,"winter",2.94528
2009-01-10,"winter",3.01608
2009-01-11,"winter",3.1152
2009-01-12,"winter",3.05856
2009-01-13,"winter",2.91696
2009-01-14,"winter",2.86032
2009-01-15,"winter",3.22848
2009-01-16,"winter",3.55416
2009-01-17,"winter",3.73824
2009-01-18,"winter",4.04976
2009-01-19,"winter",4.07808
2009-01-20,"winter",3.85152
2009-01-21,"winter",3.62496
2009-01-22,"winter",3.72408
2009-01-23,"winter",8.45352
2009-01-24,"winter",22.0896
2009-01-25,"winter",42.9048
2009-01-26,"winter",32.2848
2009-01-27,"winter",19.6824
2009-01-28,"winter",11.41296
2009-01-29,"winter",7.98624
2009-01-30,"winter",6.0888
2009-01-31,"winter",5.0268
2009-02-01,"winter",4.30464
2009-02-02,"winter",3.894
2009-02-03,"winter",3.6108
2009-02-04,"winter",3.45504
2009-02-05,"winter",3.22848
2009-02-06,"winter",3.1152
2009-02-07,"winter",3.12936
2009-02-08,"winter",3.49752
2009-02-09,"winter",4.07808
2009-02-10,"winter",4.8852
2009-02-11,"winter",5.2392
2009-02-12,"winter",4.14888
2009-02-13,"winter",3.76656
2009-02-14,"winter",3.65328
2009-02-15,"winter",3.55416
2009-02-16,"winter",3.52584
2009-02-17,"winter",3.6816
2009-02-18,"winter",5.49408
2009-02-19,"winter",5.15424
2009-02-20,"winter",4.85688
2009-02-21,"winter",5.35248
2009-02-22,"winter",7.80216
2009-02-23,"winter",16.284
2009-02-24,"winter",43.6128
2009-02-25,"winter",53.3832
2009-02-26,"winter",40.4976
2009-02-27,"winter",28.8864
2009-02-28,"winter",19.2576
2009-03-01,"winter",13.96176
2009-03-02,"winter",10.62
2009-03-03,"winter",10.29432
2009-03-04,"winter",11.05896
2009-03-05,"winter",11.01648
2009-03-06,"winter",9.86952
2009-03-07,"winter",7.87296
2009-03-08,"winter",6.17376
2009-03-09,"winter",5.01264
2009-03-10,"winter",4.23384
2009-03-11,"winter",3.9648
2009-03-12,"winter",3.59664
2009-03-13,"winter",3.44088
2009-03-14,"winter",3.49752
2009-03-15,"winter",3.41256
2009-03-16,"winter",3.24264
2009-03-17,"winter",2.88864
2009-03-18,"winter",2.59128
2009-03-19,"spring",2.37888
2009-03-20,"spring",2.32224
2009-03-21,"spring",2.42136
2009-03-22,"spring",2.49216
2009-03-23,"spring",2.44968
2009-03-24,"spring",2.39304
2009-03-25,"spring",2.30808
2009-03-26,"spring",2.13816
2009-03-27,"spring",2.124
2009-03-28,"spring",2.124
2009-03-29,"spring",2.10984
2009-03-30,"spring",2.01072
2009-03-31,"spring",1.86912
2009-04-01,"spring",1.78416
2009-04-02,"spring",1.58592
2009-04-03,"spring",1.4868
2009-04-04,"spring",1.54344
2009-04-05,"spring",1.67088
2009-04-06,"spring",1.68504
2009-04-07,"spring",1.6284
2009-04-08,"spring",1.5576
2009-04-09,"spring",1.54344
2009-04-10,"spring",1.52928
2009-04-11,"spring",1.74168
2009-04-12,"spring",1.9824
2009-04-13,"spring",2.08152
2009-04-14,"spring",1.9824
2009-04-15,"spring",1.82664
2009-04-16,"spring",1.75584
2009-04-17,"spring",1.67088
2009-04-18,"spring",1.58592
2009-04-19,"spring",1.57176
2009-04-20,"spring",1.45848
2009-04-21,"spring",1.47264
2009-04-22,"spring",1.335288
2009-04-23,"spring",1.2036
2009-04-24,"spring",1.190856
2009-04-25,"spring",1.216344
2009-04-26,"spring",1.342368
2009-04-27,"spring",1.297056
2009-04-28,"spring",1.35936
2009-04-29,"spring",1.35936
2009-04-30,"spring",1.328208
2009-05-01,"spring",1.284312
2009-05-02,"spring",1.377768
2009-05-03,"spring",1.38768
2009-05-04,"spring",1.328208
2009-05-05,"spring",1.227672
2009-05-06,"spring",1.0974
2009-05-07,"spring",1.178112
2009-05-08,"spring",1.18236
2009-05-09,"spring",1.020936
2009-05-10,"spring",1.094568
2009-05-11,"spring",1.046424
2009-05-12,"spring",1.0266
2009-05-13,"spring",0.989784
2009-05-14,"spring",0.926064
2009-05-15,"spring",0.896328
2009-05-16,"spring",0.943056
2009-05-17,"spring",1.05492
2009-05-18,"spring",1.01244
2009-05-19,"spring",1.01244
2009-05-20,"spring",1.165368
2009-05-21,"spring",1.216344
2009-05-22,"spring",1.3806
2009-05-23,"spring",1.58592
2009-05-24,"spring",3.72408
2009-05-25,"spring",3.72408
2009-05-26,"spring",2.91696
2009-05-27,"spring",2.4072
2009-05-28,"spring",2.1948
2009-05-29,"spring",2.09568
2009-05-30,"spring",1.81248
2009-05-31,"spring",1.81248
2009-06-01,"summer",1.78416
2009-06-02,"summer",1.6284
2009-06-03,"summer",1.3452
2009-06-04,"summer",1.28148
2009-06-05,"summer",1.115808
2009-06-06,"summer",1.166784
2009-06-07,"summer",1.214928
2009-06-08,"summer",1.165368
2009-06-09,"summer",1.141296
2009-06-10,"summer",1.18236
2009-06-11,"summer",1.134216
2009-06-12,"summer",1.10448
2009-06-13,"summer",0.974208
2009-06-14,"summer",0.931728
2009-06-15,"summer",0.94164
2009-06-16,"summer",0.96288
2009-06-17,"summer",0.99828
2009-06-18,"summer",0.901992
2009-06-19,"summer",0.783048
2009-06-20,"summer",0.795792
2009-06-21,"summer",0.858096
2009-06-22,"summer",0.851016
2009-06-23,"summer",0.798624
2009-06-24,"summer",0.89208
2009-06-25,"summer",0.843936
2009-06-26,"summer",0.8496
2009-06-27,"summer",1.036512
2009-06-28,"summer",1.0266
2009-06-29,"summer",0.887832
2009-06-30,"summer",0.754728
2009-07-01,"summer",0.681096
2009-07-02,"summer",0.620208
2009-07-03,"summer",0.719328
2009-07-04,"summer",0.80712
2009-07-05,"summer",0.89208
2009-07-06,"summer",0.875088
2009-07-07,"summer",0.841104
2009-07-08,"summer",0.719328
2009-07-09,"summer",0.553656
2009-07-10,"summer",0.512592
2009-07-11,"summer",0.491352
2009-07-12,"summer",0.492768
2009-07-13,"summer",0.48144
2009-07-14,"summer",0.515424
2009-07-15,"summer",0.497016
2009-07-16,"summer",0.567816
2009-07-17,"summer",0.600384
2009-07-18,"summer",0.556488
2009-07-19,"summer",0.583392
2009-07-20,"summer",0.614544
2009-07-21,"summer",0.761808
2009-07-22,"summer",1.020936
2009-07-23,"summer",1.1682
2009-07-24,"summer",1.6284
2009-07-25,"summer",2.02488
2009-07-26,"summer",1.9116
2009-07-27,"summer",1.57176
2009-07-28,"summer",1.322544
2009-07-29,"summer",1.14696
2009-07-30,"summer",1.043592
2009-07-31,"summer",0.879336
2009-08-01,"summer",0.784464
2009-08-02,"summer",0.749064
2009-08-03,"summer",0.652776
2009-08-04,"summer",0.591888
2009-08-05,"summer",0.567816
2009-08-06,"summer",0.531
2009-08-07,"summer",0.465864
2009-08-08,"summer",0.457368
2009-08-09,"summer",0.470112
2009-08-10,"summer",0.553656
2009-08-11,"summer",0.531
2009-08-12,"summer",0.542328
2009-08-13,"summer",0.567816
2009-08-14,"summer",0.754728
2009-08-15,"summer",0.894912
2009-08-16,"summer",0.897744
2009-08-17,"summer",0.754728
2009-08-18,"summer",0.766056
2009-08-19,"summer",0.712248
2009-08-20,"summer",0.676848
2009-08-21,"summer",0.584808
2009-08-22,"summer",0.572064
2009-08-23,"summer",0.586224
2009-08-24,"summer",0.79296
2009-08-25,"summer",1.236168
2009-08-26,"summer",1.396176
2009-08-27,"summer",1.230504
2009-08-28,"summer",1.029432
2009-08-29,"summer",0.947304
2009-08-30,"summer",0.845352
2009-08-31,"summer",0.836856
2009-09-01,"fall",0.889248
2009-09-02,"fall",0.858096
2009-09-03,"fall",0.85668
2009-09-04,"fall",0.768888
2009-09-05,"fall",0.801456
2009-09-06,"fall",4.29048
2009-09-07,"fall",3.59664
2009-09-08,"fall",2.84616
2009-09-09,"fall",2.32224
2009-09-10,"fall",2.18064
2009-09-11,"fall",1.93992
2009-09-12,"fall",2.60544
2009-09-13,"fall",2.57712
2009-09-14,"fall",2.43552
2009-09-15,"fall",1.77
2009-09-16,"fall",1.65672
2009-09-17,"fall",1.58592
2009-09-18,"fall",1.406088
2009-09-19,"fall",1.403256
2009-09-20,"fall",1.57176
2009-09-21,"fall",1.79832
2009-09-22,"fall",1.60008
2009-09-23,"fall",1.45848
2009-09-24,"fall",1.45848
2009-09-25,"fall",1.36644
2009-09-26,"fall",1.254576
2009-09-27,"fall",1.200768
2009-09-28,"fall",1.183776
2009-09-29,"fall",1.110144
2009-09-30,"fall",1.142712
2009-10-01,"fall",1.127136
2009-10-02,"fall",1.21068
2009-10-03,"fall",1.23192
2009-10-04,"fall",1.30272
2009-10-05,"fall",1.272984
2009-10-06,"fall",1.305552
2009-10-07,"fall",1.43016
2009-10-08,"fall",1.43016
2009-10-09,"fall",1.328208
2009-10-10,"fall",1.326792
2009-10-11,"fall",1.376352
2009-10-12,"fall",1.45848
2009-10-13,"fall",1.52928
2009-10-14,"fall",1.45848
2009-10-15,"fall",1.416
2009-10-16,"fall",1.47264
2009-10-17,"fall",1.45848
2009-10-18,"fall",1.365024
2009-10-19,"fall",1.321128
2009-10-20,"fall",1.365024
2009-10-21,"fall",1.410336
2009-10-22,"fall",1.45848
2009-10-23,"fall",1.51512
2009-10-24,"fall",1.54344
2009-10-25,"fall",1.60008
2009-10-26,"fall",1.60008
2009-10-27,"fall",1.57176
2009-10-28,"fall",1.72752
2009-10-29,"fall",1.81248
2009-10-30,"fall",1.89744
2009-10-31,"fall",1.88328
2009-11-01,"fall",1.9116
2009-11-02,"fall",1.86912
2009-11-03,"fall",1.86912
2009-11-04,"fall",1.93992
2009-11-05,"fall",1.89744
2009-11-06,"fall",1.85496
2009-11-07,"fall",1.93992
2009-11-08,"fall",1.92576
2009-11-09,"fall",1.95408
2009-11-10,"fall",1.9116
2009-11-11,"fall",1.89744
2009-11-12,"fall",1.96824
2009-11-13,"fall",1.96824
2009-11-14,"fall",2.01072
2009-11-15,"fall",2.03904
2009-11-16,"fall",2.09568
2009-11-17,"fall",2.0532
2009-11-18,"fall",2.06736
2009-11-19,"fall",2.08152
2009-11-20,"fall",2.09568
2009-11-21,"fall",2.13816
2009-11-22,"fall",2.09568
2009-11-23,"fall",2.09568
2009-11-24,"fall",2.09568
2009-11-25,"fall",2.10984
2009-11-26,"fall",2.18064
2009-11-27,"fall",2.18064
2009-11-28,"fall",2.16648
2009-11-29,"fall",2.18064
2009-11-30,"fall",2.20896
2009-12-01,"winter",2.2656
2009-12-02,"winter",2.2656
2009-12-03,"winter",2.27976
2009-12-04,"winter",2.29392
2009-12-05,"winter",2.49216
2009-12-06,"winter",2.50632
2009-12-07,"winter",2.6196
2009-12-08,"winter",3.00192
2009-12-09,"winter",3.9648
2009-12-10,"winter",3.28512
2009-12-11,"winter",2.9736
2009-12-12,"winter",2.84616
2009-12-13,"winter",2.81784
2009-12-14,"winter",2.73288
2009-12-15,"winter",2.74704
2009-12-16,"winter",2.73288
2009-12-17,"winter",2.64792
2009-12-18,"winter",2.59128
2009-12-19,"winter",2.56296
2009-12-20,"winter",2.56296
2009-12-21,"winter",2.52048
2009-12-22,"winter",2.59128
2009-12-23,"winter",2.60544
2009-12-24,"winter",2.60544
2009-12-25,"winter",2.63376
2009-12-26,"winter",2.56296
2009-12-27,"winter",2.52048
2009-12-28,"winter",2.50632
2009-12-29,"winter",2.50632
2009-12-30,"winter",2.49216
2009-12-31,"winter",2.44968
2010-01-01,"winter",2.478
2010-01-02,"winter",2.44968
2010-01-03,"winter",2.43552
2010-01-04,"winter",2.43552
2010-01-05,"winter",2.4072
2010-01-06,"winter",2.4072
2010-01-07,"winter",2.4072
2010-01-08,"winter",2.37888
2010-01-09,"winter",2.4072
2010-01-10,"winter",2.4072
2010-01-11,"winter",2.42136
2010-01-12,"winter",2.4072
2010-01-13,"winter",2.4072
2010-01-14,"winter",2.42136
2010-01-15,"winter",2.44968
2010-01-16,"winter",2.50632
2010-01-17,"winter",2.5488
2010-01-18,"winter",2.53464
2010-01-19,"winter",2.80368
2010-01-20,"winter",3.70992
2010-01-21,"winter",13.26792
2010-01-22,"winter",113.5632
2010-01-23,"winter",68.9592
2010-01-24,"winter",26.3376
2010-01-25,"winter",14.4432
2010-01-26,"winter",10.28016
2010-01-27,"winter",9.204
2010-01-28,"winter",17.8416
2010-01-29,"winter",14.7264
2010-01-30,"winter",12.98472
2010-01-31,"winter",10.73328
2010-02-01,"winter",10.02528
2010-02-02,"winter",9.23232
2010-02-03,"winter",9.40224
2010-02-04,"winter",9.81288
2010-02-05,"winter",11.28552
2010-02-06,"winter",12.43248
2010-02-07,"winter",19.9656
2010-02-08,"winter",26.6208
2010-02-09,"winter",18.5496
2010-02-10,"winter",13.452
2010-02-11,"winter",10.4076
2010-02-12,"winter",8.34024
2010-02-13,"winter",7.56144
2010-02-14,"winter",8.2128
2010-02-15,"winter",10.4076
2010-02-16,"winter",12.44664
2010-02-17,"winter",14.04672
2010-02-18,"winter",13.90512
2010-02-19,"winter",13.91928
2010-02-20,"winter",14.06088
2010-02-21,"winter",12.65904
2010-02-22,"winter",13.97592
2010-02-23,"winter",13.84848
2010-02-24,"winter",9.68544
2010-02-25,"winter",8.24112
2010-02-26,"winter",10.7616
2010-02-27,"winter",8.7084
2010-02-28,"winter",8.7084
2010-03-01,"winter",11.51208
2010-03-02,"winter",12.23424
2010-03-03,"winter",15.7176
2010-03-04,"winter",19.3992
2010-03-05,"winter",21.0984
2010-03-06,"winter",19.3992
2010-03-07,"winter",36.5328
2010-03-08,"winter",72.4992
2010-03-09,"winter",47.0112
2010-03-10,"winter",29.3112
2010-03-11,"winter",23.7888
2010-03-12,"winter",26.196
2010-03-13,"winter",26.3376
2010-03-14,"winter",28.1784
2010-03-15,"winter",27.8952
2010-03-16,"winter",24.9216
2010-03-17,"winter",32.7096
2010-03-18,"winter",47.0112
2010-03-19,"spring",53.9496
2010-03-20,"spring",49.1352
2010-03-21,"spring",35.5416
2010-03-22,"spring",31.2936
2010-03-23,"spring",38.232
2010-03-24,"spring",35.2584
2010-03-25,"spring",28.6032
2010-03-26,"spring",28.4616
2010-03-27,"spring",28.0368
2010-03-28,"spring",23.364
2010-03-29,"spring",20.9568
2010-03-30,"spring",23.5056
2010-03-31,"spring",30.8688
2010-04-01,"spring",31.4352
2010-04-02,"spring",26.6208
2010-04-03,"spring",18.1248
2010-04-04,"spring",15.1512
2010-04-05,"spring",17.8416
2010-04-06,"spring",21.948
2010-04-07,"spring",19.9656
2010-04-08,"spring",14.5848
2010-04-09,"spring",12.23424
2010-04-10,"spring",13.14048
2010-04-11,"spring",12.87144
2010-04-12,"spring",12.1776
2010-04-13,"spring",11.37048
2010-04-14,"spring",10.01112
2010-04-15,"spring",8.24112
2010-04-16,"spring",7.56144
2010-04-17,"spring",7.1508
2010-04-18,"spring",6.14544
2010-04-19,"spring",5.72064
2010-04-20,"spring",5.36664
2010-04-21,"spring",4.84272
2010-04-22,"spring",4.57368
2010-04-23,"spring",4.87104
2010-04-24,"spring",4.54536
2010-04-25,"spring",4.0356
2010-04-26,"spring",3.49752
2010-04-27,"spring",2.9736
2010-04-28,"spring",2.7612
2010-04-29,"spring",2.60544
2010-04-30,"spring",2.53464
2010-05-01,"spring",2.59128
2010-05-02,"spring",2.5488
2010-05-03,"spring",2.42136
2010-05-04,"spring",2.06736
2010-05-05,"spring",1.96824
2010-05-06,"spring",1.88328
2010-05-07,"spring",1.9116
2010-05-08,"spring",1.85496
2010-05-09,"spring",1.74168
2010-05-10,"spring",1.68504
2010-05-11,"spring",1.65672
2010-05-12,"spring",1.74168
2010-05-13,"spring",1.71336
2010-05-14,"spring",1.68504
2010-05-15,"spring",1.71336
2010-05-16,"spring",1.64256
2010-05-17,"spring",1.60008
2010-05-18,"spring",1.52928
2010-05-19,"spring",1.47264
2010-05-20,"spring",1.363608
2010-05-21,"spring",1.372104
2010-05-22,"spring",1.282896
2010-05-23,"spring",1.306968
2010-05-24,"spring",1.36644
2010-05-25,"spring",1.44432
